tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Etiqueta
0.99,11.80639,-87.11139,3.619567,0,0,0,0,0,0,0,0.2499447,-4.338665,-3.487392,0,0,0,Ejercicio1
1.0,11.80693,-87.16526,3.611963,0,0,0,0,0,0,0,0.0728693,-7.091502,-1.01672,0,0,0,Ejercicio1
1.01,11.80693,-87.16526,3.611963,0,0,0,0,0,0,0,0.001576439,-0.153416,-0.02199551,0,0,0,Ejercicio1
1.02,11.80802,-87.27302,3.596822,0,0,0,0,0,0,0,0.09564837,-9.525764,-1.334549,0,0,0,Ejercicio1
1.03,11.80802,-87.27302,3.596822,0,0,0,0,0,0,0,0.002069236,-0.2060783,-0.02887134,0,0,0,Ejercicio1
1.04,11.80802,-87.27302,3.596822,0,0,0,0,0,0,0,3.252392e-05,-0.003239111,-0.000453795,0,0,0,Ejercicio1
1.05,11.80802,-87.27302,3.596822,0,0,0,0,0,0,0,2.698476e-07,-2.687456e-05,-3.76509e-06,0,0,0,Ejercicio1
1.06,11.87631,-87.3269,3.594154,0,0,0,0,0,0,0,1.33437,-6.416291,-0.8046942,0,0,0,Ejercicio1
1.07,11.87685,-87.38079,3.586638,0,0,0,0,0,0,0,0.1029518,-9.492902,-1.321473,0,0,0,Ejercicio1
1.08,11.87685,-87.38079,3.586638,0,0,0,0,0,0,0,0.001618182,-0.1492081,-0.02077074,0,0,0,Ejercicio1
1.09,11.87739,-87.43468,3.579145,0,0,0,0,0,0,0,0.001341828,-0.1340111,-0.01860737,0,0,0,Ejercicio1
1.1,11.87739,-87.43468,3.579145,0,0,0,0,0,0,0,2.902882e-05,-0.002899168,-0.0004025478,0,0,0,Ejercicio1
1.11,11.87739,-87.43468,3.579145,0,0,0,0,0,0,0,4.56092e-07,-4.556873e-05,-6.327205e-06,0,0,0,Ejercicio1
1.12,11.80963,-87.43468,3.574275,0,0,0,0,0,0,0,-0.6493612,-3.78079e-07,-0.04654038,0,0,0,Ejercicio1
1.13,11.81017,-87.48857,3.566803,0,0,0,0,0,0,0,0.1208423,-12.33047,-1.707126,0,0,0,Ejercicio1
1.14,11.81017,-87.48857,3.566803,0,0,0,0,0,0,0,0.001379982,-0.1408103,-0.01949486,0,0,0,Ejercicio1
1.15,11.81017,-87.48857,3.566803,0,0,0,0,0,0,0,2.985424e-05,-0.003046259,-0.0004217475,0,0,0,Ejercicio1
1.16,11.87793,-87.48857,3.571673,0,0,0,0,0,0,0,0.07068922,-1.425712e-06,0.005095383,0,0,0,Ejercicio1
1.17,11.87793,-87.48857,3.571673,0,0,0,0,0,0,0,8.626507e-05,0.0,6.218355e-06,0,0,0,Ejercicio1
1.18,11.81393,-87.47506,3.514305,0,0,0,0,0,0,0,-8.917297,2.273988,-9.515042,0,0,0,Ejercicio1
1.19,11.82146,-87.44798,3.409325,0,0,0,0,0,0,0,0.4065672,1.824297,-7.067532,0,0,0,Ejercicio1
1.2,11.8365,-87.39357,3.199432,0,0,0,0,0,0,0,0.8250719,3.000256,-11.5339,0,0,0,Ejercicio1
1.21,11.84026,-87.37991,3.146972,0,0,0,0,0,0,0,0.4576668,1.663898,-6.385764,0,0,0,Ejercicio1
1.22,11.84026,-87.37991,3.146972,0,0,0,0,0,0,0,0.007193545,0.02615293,-0.1003706,0,0,0,Ejercicio1
1.23,11.84026,-87.37991,3.146972,0,0,0,0,0,0,0,3.150556e-05,0.0001145402,-0.0004395862,0,0,0,Ejercicio1
1.24,11.84079,-87.43381,3.139523,0,0,0,0,0,0,0,0.03484472,-3.522329,-0.4861764,0,0,0,Ejercicio1
1.25,11.77286,-87.43381,3.134668,0,0,0,0,0,0,0,-11.46835,-0.01542651,-0.8193478,0,0,0,Ejercicio1
1.26,11.78033,-87.40643,3.029762,0,0,0,0,0,0,0,0.4169414,2.010277,-7.69962,0,0,0,Ejercicio1
1.27,11.78407,-87.3927,2.977318,0,0,0,0,0,0,0,0.09664094,0.3580489,-1.367365,0,0,0,Ejercicio1
1.28,11.78781,-87.37896,2.924879,0,0,0,0,0,0,0,0.02795328,0.10293,-0.392412,0,0,0,Ejercicio1
1.29,11.78781,-87.37896,2.924879,0,0,0,0,0,0,0,0.0001685037,0.0006204669,-0.002365478,0,0,0,Ejercicio1
1.3,11.78833,-87.43286,2.917451,0,0,0,0,0,0,0,0.02543237,-2.593268,-0.3569072,0,0,0,Ejercicio1
1.31,11.78939,-87.54066,2.90266,0,0,0,0,0,0,0,0.06519228,-6.688506,-0.9148812,0,0,0,Ejercicio1
1.32,11.72136,-87.54066,2.897826,0,0,0,0,0,0,0,-11.76345,-0.05549383,-0.8410034,0,0,0,Ejercicio1
1.33,11.72136,-87.54066,2.897826,0,0,0,0,0,0,0,-0.07091065,-0.0003345195,-0.005069608,0,0,0,Ejercicio1
1.34,11.72136,-87.54066,2.897826,0,0,0,0,0,0,0,-0.001114564,-5.257931e-06,-7.968341e-05,0,0,0,Ejercicio1
1.35,11.7224,-87.64848,2.883123,0,0,0,0,0,0,0,0.05630605,-5.846475,-0.7948804,0,0,0,Ejercicio1
1.36,11.72292,-87.70239,2.875804,0,0,0,0,0,0,0,0.01452113,-1.512231,-0.2049743,0,0,0,Ejercicio1
1.37,11.72075,-87.8779,2.90642,0,0,0,0,0,0,0,0.0578315,-9.943089,-0.8163174,0,0,0,Ejercicio1
1.38,11.71703,-87.89162,2.958865,0,0,0,0,0,0,0,-0.003684783,-0.04786773,0.05201237,0,0,0,Ejercicio1
1.39,11.64902,-87.89162,2.954061,0,0,0,0,0,0,0,-11.66129,-0.0007523785,-0.8204965,0,0,0,Ejercicio1
1.4,11.58835,-87.86415,2.844393,0,0,0,0,0,0,0,-0.3767648,3.464267,-13.2995,0,0,0,Ejercicio1
1.41,11.5349,-87.80897,2.629919,0,0,0,0,0,0,0,-0.780021,1.857598,-7.124274,0,0,0,Ejercicio1
1.42,11.53854,-87.79511,2.577502,0,0,0,0,0,0,0,0.4756699,1.836338,-6.94441,0,0,0,Ejercicio1
1.43,11.53905,-87.84904,2.570271,0,0,0,0,0,0,0,0.08734519,-7.386245,-1.256612,0,0,0,Ejercicio1
1.44,11.47088,-87.84904,2.56554,0,0,0,0,0,0,0,-1.693184,-0.07728568,-0.1287299,0,0,0,Ejercicio1
1.45,11.46775,-87.91682,2.610748,0,0,0,0,0,0,0,-0.2441444,-1.42127,3.324485,0,0,0,Ejercicio1
1.46,11.3996,-87.91682,2.606047,0,0,0,0,0,0,0,-8.532307,-0.01179213,-0.5591158,0,0,0,Ejercicio1
1.47,11.19867,-87.90297,2.539686,0,0,0,0,0,0,0,-20.32412,1.248421,-6.115813,0,0,0,Ejercicio1
1.48,10.86804,-87.86129,2.359752,0,0,0,0,0,0,0,-19.93925,4.341023,-17.71412,0,0,0,Ejercicio1
1.49,10.59835,-87.84735,2.289687,0,0,0,0,0,0,0,-20.99186,1.8273,-8.234677,0,0,0,Ejercicio1
1.5,10.1987,-87.85935,2.099619,0,0,0,0,0,0,0,-15.254,0.2624589,-4.608995,0,0,0,Ejercicio1
1.51,9.996755,-87.84533,2.034761,0,0,0,0,0,0,0,-14.35084,0.5071785,-2.82144,0,0,0,Ejercicio1
1.52,9.931493,-87.83128,1.978266,0,0,0,0,0,0,0,-1.115839,3.402821,-12.7988,0,0,0,Ejercicio1
