tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0
0.012,0.01264734,-0.08753488000000001,0.00679935,0,0,0,0,0,0,0,-0.0005071008000000001,-0.004408548,0.006933035000000001,0,0,0,-0.00048741695709470423
0.013000000000000001,0.012713770000000001,-0.08753488000000001,0.006804564,0,0,0,0,0,0,0,0.003304057,-0.00010502160000000001,0.0005245260000000001,0,0,0,-0.00048464084524833383
0.014,0.01271438,-0.08758874,0.006796834,0,0,0,0,0,0,0,1.35889e-05,-0.0002729011,-3.740194e-05,0,0,0,-0.0004884093556471142
0.015,0.01271438,-0.08758874,0.006796834,0,0,0,0,0,0,0,2.9397940000000004e-07,-5.9038830000000005e-06,-8.091456e-07,0,0,0,-0.00048739926278903415
0.016,0.01271438,-0.08758874,0.006796834,0,0,0,0,0,0,0,4.620729e-09,-9.279644e-08,-1.2718040000000001e-08,0,0,0,-0.0004875944587850421
0.017,0.0127808,-0.08758874,0.006802075,0,0,0,0,0,0,0,0.008975849000000001,-7.699223000000001e-10,0.0007101209,0,0,0,-0.0004848244424743161
0.018000000000000002,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,0.009543799,-1.664421e-11,0.0007590033000000001,0,0,0,-0.0004862064717367016
0.019,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,9.654726e-05,0.0,7.678251e-06,0,0,0,-0.0004861376177093061
0.02,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,1.1025399999999999e-06,0.0,8.768330000000001e-08,0,0,0,-0.00048789086594336247
0.021,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,6.646166e-09,0.0,5.285591e-10,0,0,0,-0.00048780883064543823
0.022,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,7.58972e-11,0.0,6.035984e-12,0,0,0,-0.00048780883064543823
0.023,0.01284723,-0.08758874,0.006807344,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00048780883064543823
0.024,0.01284785,-0.08764259,0.006799635,0,0,0,0,0,0,0,8.052194000000001e-06,-0.0007084309,-0.0001012493,0,0,0,-0.0004894222659195408
0.025,0.012848459999999999,-0.08769646,0.006791949,0,0,0,0,0,0,0,8.38638e-06,-0.0007399816999999999,-0.0001054514,0,0,0,-0.0004894222659195408
0.026000000000000002,0.0129155,-0.08775032,0.006789581,0,0,0,0,0,0,0,0.009102772,-0.0049739779999999996,1.6448250000000003e-05,0,0,0,-0.000484759228012788
0.027,0.0129155,-0.08775032,0.006789581,0,0,0,0,0,0,0,0.0003387813,-7.818031000000001e-05,1.590364e-05,0,0,0,-0.000484759228012788
0.028,0.0129155,-0.08775032,0.006789581,0,0,0,0,0,0,0,1.483737e-06,-3.424011e-07,6.965209e-08,0,0,0,-0.00048705494903323676
0.029,0.0129155,-0.08775032,0.006789581,0,0,0,0,0,0,0,3.2098860000000003e-08,-7.407431000000001e-09,1.506838e-09,0,0,0,-0.0004875944587850421
0.03,0.01298255,-0.08780418000000001,0.006787263,0,0,0,0,0,0,0,0.0006407222,-0.0001978228,2.3280180000000003e-05,0,0,0,-0.000484759228012788
0.031,0.01298316,-0.08785806,0.006779643,0,0,0,0,0,0,0,1.602904e-05,-0.001343553,-0.0001897158,0,0,0,-0.0004894222659195408
0.032,0.01298801,-0.08789967,0.006719277,0,0,0,0,0,0,0,1.3836440000000001e-05,-0.00017097100000000001,-0.0001721665,0,0,0,-0.0004762860090999476
