tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.049,0.01409186,-0.0885608,-0.0009140155,0,0,0,0,0,0,0,-2.7187490000000003e-05,0.0,-2.26346e-06,0,0,0,0.0004567078436915,Ejercicio 1
0.05,0.01409186,-0.0885608,-0.0009140155,0,0,0,0,0,0,0,-4.566569e-08,0.0,-3.801838e-09,0,0,0,0.0004567078436915,Ejercicio 1
0.051,0.01409132,-0.08850678,-0.0009074716,0,0,0,0,0,0,0,-3.878691e-06,0.0003838813,4.658813e-05,0,0,0,0.0004547588764944,Ejercicio 1
0.052,0.0140907699999999,-0.08845277,-0.0009009058,0,0,0,0,0,0,0,-1.505403e-06,0.0001484898,1.808211e-05,0,0,0,0.0004547588764944,Ejercicio 1
0.053,0.01402493,-0.08838348,-0.0009520654,0,0,0,0,0,0,0,-0.002421468,0.001877508,-8.702474e-06,0,0,0,0.0004544275997987,Ejercicio 1
0.054,0.0137617,-0.08816015,-0.001162843,0,0,0,0,0,0,0,-0.01978986,0.01338806,-0.008112154,0,0,0,0.0004700011028037,Ejercicio 1
0.055,0.0135722699999999,-0.08797502,-0.001425996,0,0,0,0,0,0,0,-0.008855444,0.01028389,-0.0102763,0,0,0,0.000505682895349,Ejercicio 1
0.056,0.0133128,-0.08784336,-0.001700926,0,0,0,0,0,0,0,-0.009404832,0.004412837,-0.01190424,0,0,0,0.0005328877610634,Ejercicio 1
0.057,0.01324288,-0.08784336,-0.001706386,0,0,0,0,0,0,0,-0.0002120219,1.727999e-05,-6.60381e-05,0,0,0,0.0005364289978915,Ejercicio 1
0.058,0.01324288,-0.08784336,-0.001706386,0,0,0,0,0,0,0,-3.561243e-07,2.9024480000000003e-08,-1.1092140000000001e-07,0,0,0,0.0005385066883788,Ejercicio 1
0.059,0.0133128,-0.08784336,-0.001700926,0,0,0,0,0,0,0,0.0002590396,4.875119e-11,2.0279330000000003e-05,0,0,0,0.0005397838672899,Ejercicio 1
0.06,0.01333311,-0.08776515,-0.001960326,0,0,0,0,0,0,0,0.001190457,0.004598912,-0.01519859,0,0,0,0.0005593458750262,Ejercicio 1
0.061,0.01336963,-0.08762305,-0.002426844,0,0,0,0,0,0,0,0.001420063,0.005561556,-0.01813915,0,0,0,0.0006161578375038,Ejercicio 1
0.062,0.0133236,-0.08752737,-0.002743059,0,0,0,0,0,0,0,-0.0002646873,0.000846967,-0.002775743,0,0,0,0.000629590986924,Ejercicio 1
0.063,0.01332764,-0.08751135,-0.002794825,0,0,0,0,0,0,0,5.1539130000000005e-05,0.0002207634,-0.0007130781,0,0,0,0.0006413999372668,Ejercicio 1
0.064,0.01325778,-0.08756534,-0.002807013,0,0,0,0,0,0,0,-0.001286336,-0.002604293,-0.0004314941,0,0,0,0.0006438100499793,Ejercicio 1
0.065,0.01325778,-0.08756534,-0.002807013,0,0,0,0,0,0,0,-2.160605e-06,-4.374321e-06,-7.247625e-07,0,0,0,0.0006475614122294,Ejercicio 1
