tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.1,0.002968899,-0.08991369,0.02102089,0,0,0,0,0,0,0,0.0001706674,0.0002887116,-0.002501513,0,0,0,-0.0030162081350441,Ejercicio 1
0.101,0.002968899,-0.08991369,0.02102089,0,0,0,0,0,0,0,2.6825260000000004e-06,4.53793e-06,-3.931845e-05,0,0,0,-0.0030054404820003,Ejercicio 1
0.102,0.002968899,-0.08991369,0.02102089,0,0,0,0,0,0,0,8.53577e-09,1.443965e-08,-1.2511090000000002e-07,0,0,0,-0.0030013182152785,Ejercicio 1
0.103,0.002969056,-0.08996754,0.02101307,0,0,0,0,0,0,0,7.460816e-06,-0.0025532059999999,-0.0003702363,0,0,0,-0.0029848411369198,Ejercicio 1
0.104,0.002969056,-0.08996754,0.02101307,0,0,0,0,0,0,0,9.104737e-09,-3.1157860000000003e-06,-4.518149e-07,0,0,0,-0.0029846059818697,Ejercicio 1
0.105,0.0030321799999999,-0.09006264,0.02089081,0,0,0,0,0,0,0,0.01034498,-0.008605645,-0.0104739,0,0,0,-0.0029627507089384,Ejercicio 1
0.106,0.003155923,-0.0901038099999999,0.02077769,0,0,0,0,0,0,0,0.0149566199999999,0.0007076917,-0.008099537,0,0,0,-0.0029499610164828,Ejercicio 1
0.107,0.003219124,-0.09014491,0.02066337,0,0,0,0,0,0,0,0.0007557228,0.001573666,-0.01370945,0,0,0,-0.0029497198361294,Ejercicio 1
0.108,0.00340397,-0.09018591,0.02055186,0,0,0,0,0,0,0,0.01076191,-0.003315517,-0.002888356,0,0,0,-0.0029067694743634,Ejercicio 1
0.109,0.003586291,-0.09018591,0.02055617,0,0,0,0,0,0,0,0.01267221,-7.66498e-06,0.0003002466999999,0,0,0,-0.0029274593755569,Ejercicio 1
0.11,0.003707834,-0.09018591,0.02055917,0,0,0,0,0,0,0,0.003295974,-1.772029e-08,8.267392e-05,0,0,0,-0.0029413269350897,Ejercicio 1
0.111,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,0.0008194650999999,-4.0966660000000006e-11,2.08962e-05,0,0,0,-0.0029277580247698,Ejercicio 1
0.112,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,9.358043e-06,0.0,2.386287e-07,0,0,0,-0.0029090096971284,Ejercicio 1
0.113,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,5.641072e-08,0.0,1.438465e-09,0,0,0,-0.0029090096971284,Ejercicio 1
0.114,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,1.220377e-09,0.0,3.1119450000000004e-11,0,0,0,-0.0029090096971284,Ejercicio 1
0.115,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0029090096971284,Ejercicio 1
0.116,0.003768606,-0.09018591,0.02056071,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0029090096971284,Ejercicio 1
0.117,0.003769981,-0.09017945,0.02050677,0,0,0,0,0,0,0,9.272774e-05,0.0004363798,-0.003636402,0,0,0,-0.0028763337574688,Ejercicio 1
0.118,0.003771356,-0.09017297,0.02045284,0,0,0,0,0,0,0,6.615871e-05,0.0003124179,-0.002594474,0,0,0,-0.0028763337574688,Ejercicio 1
