tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0
0.013000000000000001,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.014,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.015,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.016,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.017,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.018000000000000002,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.019,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.02,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.021,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.022,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.023,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.024,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.025,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.026000000000000002,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.027,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.028,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.029,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.03,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.031,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.032,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.033,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.034,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.035,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.036000000000000004,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.037,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.038,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.039,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.04,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
0.041,0.01018249,-0.08815764000000001,0.004567818,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.00019342574106526669
