tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0
0.067,0.012557180000000001,-0.08749531,-0.0029051339999999998,0,0,0,0,0,0,0,-0.0315259,4.2582e-05,-0.0023062770000000002,0,0,0,0.0006829548682485965
0.068,0.01178909,-0.08740917000000001,-0.003057,0,0,0,0,0,0,0,-0.04951048,0.00388778,-0.004309803,0,0,0,0.0007234109459470234
0.069,0.01115804,-0.08739306000000001,-0.003151242,0,0,0,0,0,0,0,-0.03983715,0.00045051780000000005,-0.003975313,0,0,0,0.0007234109459470234
0.07,0.01045589,-0.08737694,-0.003247467,0,0,0,0,0,0,0,-0.03802908,0.0005595855,-0.004119411000000001,0,0,0,0.0007217942223634083
0.07100000000000001,0.009823353,-0.0873068,-0.00333001,0,0,0,0,0,0,0,-0.02806296,0.0011802470000000002,-0.002886081,0,0,0,0.00072469760295804
0.07200000000000001,0.009204561,-0.08720947,-0.003675905,0,0,0,0,0,0,0,-0.02347101,0.006158164000000001,-0.02088456,0,0,0,0.0007403190181158601
0.073,0.008866832,-0.08711137,-0.004004978,0,0,0,0,0,0,0,-0.024674130000000002,0.00442657,-0.01525865,0,0,0,0.0008058206540456133
0.074,0.008525224,-0.08702905,-0.004281447,0,0,0,0,0,0,0,-0.02663515,0.003759611,-0.01311209,0,0,0,0.0008411676658260167
0.075,0.008180062,-0.0869628,-0.0045053919999999996,0,0,0,0,0,0,0,-0.02272337,0.001371162,-0.005353198,0,0,0,0.0008531115508999199
0.076,0.008042709,-0.08692956,-0.0046154149999999994,0,0,0,0,0,0,0,-0.009570169,0.002877135,-0.009395882999999999,0,0,0,0.00085350767253798
0.077,0.00790046,-0.08692956,-0.004621971000000001,0,0,0,0,0,0,0,-0.01019412,7.307845e-06,-0.0004883483,0,0,0,0.0008482747115398251
0.078,0.007834011,-0.08689622,-0.0047285389999999995,0,0,0,0,0,0,0,-0.003006406,0.002811035,-0.008856443,0,0,0,0.0008555625988109477
0.079,0.007843361,-0.08682931,-0.0049351230000000005,0,0,0,0,0,0,0,0.0007054219000000001,0.005169264,-0.01591512,0,0,0,0.0008564281190451474
0.08,0.007855042,-0.08674519,-0.005193201000000001,0,0,0,0,0,0,0,0.00030748500000000003,0.002222002,-0.006793627,0,0,0,0.0008743190975757308
0.081,0.007857378,-0.08672830000000001,-0.005244796,0,0,0,0,0,0,0,5.4627039999999995e-06,3.952856e-05,-0.00012068940000000001,0,0,0,0.0008705688133959109
0.082,0.007857378,-0.08672830000000001,-0.005244796,0,0,0,0,0,0,0,1.262903e-08,9.138413e-08,-2.790159e-07,0,0,0,0.0008811454916519175
0.083,0.007855042,-0.08674519,-0.005193201000000001,0,0,0,0,0,0,0,-0.00029367179999999996,-0.0021220910000000004,0.006488156,0,0,0,0.0008843385433877536
0.084,0.007781367000000001,-0.08676205000000001,-0.005144813,0,0,0,0,0,0,0,-4.1160080000000005e-05,-0.0002997379,0.0009177128,0,0,0,0.0008862855138280135
0.085,0.007638682,-0.08676205000000001,-0.005151154,0,0,0,0,0,0,0,-0.0010257929999999999,-5.034572e-07,-4.36178e-05,0,0,0,0.0008802356983899709
0.08600000000000001,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-8.745693000000001e-05,0.0001240483,-0.0003838333,0,0,0,0.0008787165607832709
0.08700000000000001,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-1.468977e-07,2.0835870000000002e-07,-6.447086e-07,0,0,0,0.0008859313787149372
0.088,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,-3.3960559999999997e-10,4.816941e-10,-1.49047e-09,0,0,0,0.0008838239224880234
0.089,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,1.485091e-13,1.1136049999999999e-12,-3.405024e-12,0,0,0,0.0008848289637145233
0.09,0.007569589,-0.08674519,-0.005205886,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0008848289637145233
0.091,0.007498222000000001,-0.08674519,-0.005208984,0,0,0,0,0,0,0,-0.009716176000000002,0.0,-0.00041976540000000003,0,0,0,0.0008778409192473508
0.092,0.007284115,-0.08674519,-0.0052181020000000005,0,0,0,0,0,0,0,-0.01440321,0.0,-0.0006044580000000001,0,0,0,0.0008745257917000609
0.093,0.006998621,-0.08674519,-0.005229847,0,0,0,0,0,0,0,-0.01297213,0.0,-0.0005230274,0,0,0,0.0008745257917000609
0.094,0.006855867,-0.08674519,-0.005235545,0,0,0,0,0,0,0,-0.0027186750000000003,0.0,-0.0001073757,0,0,0,0.0008745257917000609
0.095,0.006713109,-0.08674519,-0.005241124000000001,0,0,0,0,0,0,0,-0.00368644,0.0,-0.0001425619,0,0,0,0.0008745257917000609
0.096,0.006498962,-0.08674519,-0.005249273,0,0,0,0,0,0,0,-0.007844526000000001,0.0,-0.0002936722,0,0,0,0.0008745257917000609
0.097,0.006213418,-0.08674519,-0.005259728,0,0,0,0,0,0,0,-0.01434287,0.0,-0.000513325,0,0,0,0.0008745257917000609
0.098,0.005927857000000001,-0.08674519,-0.0052697130000000005,0,0,0,0,0,0,0,-0.01535699,0.0,-0.0005243301000000001,0,0,0,0.0008745257917000609
0.099,0.005856464,-0.08674519,-0.005272136,0,0,0,0,0,0,0,-0.001039305,0.0,-3.505688e-05,0,0,0,0.0008745257917000609
